rms,score
6.607,11.170
6.653,11.889
7.328,11.996
5.206,12.425
4.955,13.064
5.050,13.197
3.899,13.284
5.739,13.293
6.200,13.294
6.773,13.539
5.224,13.596
5.762,13.604
5.524,13.645
6.519,13.715
5.790,13.752
6.829,13.867
5.980,13.921
6.087,13.929
5.723,14.065
7.037,14.072
5.938,14.098
5.745,14.120
6.873,14.224
5.619,14.229
6.923,14.230
5.255,14.256
6.114,14.265
5.011,14.275
4.943,14.302
6.305,14.313
5.431,14.353
6.595,14.379
5.115,14.389
4.769,14.433
6.063,14.454
5.717,14.497
4.915,14.515
5.710,14.524
5.818,14.526
6.551,14.548
3.535,14.566
5.157,14.588
5.990,14.593
5.188,14.598
7.083,14.639
5.950,14.672
6.067,14.687
4.831,14.687
6.010,14.693
5.327,14.695
7.056,14.724
6.793,14.732
5.701,14.749
6.506,14.766
5.714,14.773
5.804,14.786
7.102,14.793
2.895,14.806
5.725,14.808
5.417,14.828
4.787,14.839
5.386,14.839
6.663,14.841
3.256,14.859
5.275,14.859
5.543,14.874
3.087,14.905
5.704,14.929
5.614,14.934
5.716,14.955
5.588,14.957
6.063,14.966
5.357,14.987
6.729,15.011
6.516,15.011
5.199,15.020
6.847,15.021
4.906,15.026
5.237,15.028
5.950,15.030
3.115,15.080
4.900,15.083
6.064,15.086
5.297,15.091
6.050,15.099
5.457,15.105
4.088,15.107
5.333,15.114
5.205,15.116
5.965,15.117
6.444,15.124
6.061,15.128
3.381,15.140
3.641,15.155
5.722,15.160
6.952,15.170
5.941,15.175
6.094,15.175
5.961,15.176
5.854,15.180
5.204,15.184
6.149,15.187
5.646,15.191
5.789,15.192
5.468,15.194
5.892,15.196
5.558,15.200
5.982,15.203
7.159,15.205
3.274,15.222
5.668,15.235
5.323,15.248
5.631,15.257
6.119,15.262
6.121,15.262
3.799,15.304
5.707,15.306
5.156,15.310
5.256,15.313
5.903,15.341
6.252,15.345
6.011,15.347
5.751,15.357
5.194,15.359
5.919,15.374
5.863,15.381
5.074,15.391
3.629,15.393
5.871,15.399
5.677,15.414
5.072,15.414
4.344,15.469
6.834,15.471
6.167,15.471
5.676,15.474
5.135,15.480
5.756,15.481
5.444,15.481
6.357,15.498
6.247,15.501
5.464,15.507
5.165,15.512
6.272,15.518
4.379,15.523
5.712,15.526
6.257,15.548
6.513,15.549
5.396,15.550
3.852,15.551
4.458,15.553
6.135,15.558
6.015,15.571
5.899,15.589
6.816,15.591
5.666,15.596
5.540,15.614
4.896,15.625
5.195,15.632
5.193,15.635
5.924,15.640
5.743,15.648
5.938,15.661
5.634,15.663
5.981,15.668
6.692,15.671
6.766,15.674
3.931,15.675
5.415,15.676
4.894,15.687
6.069,15.693
5.764,15.707
5.054,15.707
4.438,15.707
4.258,15.708
5.014,15.710
5.973,15.715
6.267,15.720
6.046,15.723
6.121,15.723
6.327,15.724
5.756,15.731
6.596,15.740
6.410,15.742
3.300,15.743
7.052,15.744
6.476,15.745
6.724,15.757
5.029,15.759
6.406,15.781
3.659,15.784
5.305,15.801
5.686,15.806
4.876,15.812
6.002,15.813
4.950,15.815
5.159,15.837
5.839,15.838
5.773,15.845
4.947,15.858
5.703,15.858
5.806,15.859
5.605,15.860
5.501,15.864
4.794,15.870
3.448,15.870
4.066,15.887
3.360,15.889
7.318,15.897
6.501,15.911
4.933,15.916
6.386,15.922
5.640,15.932
3.882,15.933
6.920,15.933
4.689,15.935
6.946,15.940
5.095,15.949
4.297,15.952
4.876,15.956
5.557,15.956
5.824,15.961
5.502,15.963
7.172,15.967
6.166,15.971
5.800,15.974
4.883,15.994
7.410,16.007
7.060,16.010
6.941,16.011
5.928,16.013
5.844,16.015
2.204,16.020
5.132,16.028
5.203,16.029
5.947,16.031
4.094,16.041
5.336,16.047
6.179,16.047
5.925,16.051
6.079,16.052
5.380,16.055
6.555,16.067
5.213,16.067
4.081,16.073
6.736,16.073
6.451,16.080
4.068,16.090
4.781,16.105
6.201,16.106
6.389,16.108
5.110,16.109
5.026,16.115
5.641,16.126
5.209,16.126
2.693,16.128
7.208,16.129
6.638,16.132
5.770,16.132
5.152,16.132
5.407,16.134
5.127,16.142
7.009,16.147
5.212,16.149
6.031,16.152
5.564,16.153
5.690,16.155
6.454,16.160
3.031,16.163
6.125,16.169
6.401,16.183
6.050,16.188
6.430,16.190
4.508,16.191
5.760,16.196
5.842,16.209
5.899,16.219
4.098,16.225
6.186,16.228
4.915,16.229
7.116,16.229
6.501,16.230
5.780,16.235
5.447,16.242
6.146,16.251
5.800,16.255
5.764,16.256
5.709,16.260
6.242,16.264
4.840,16.270
3.211,16.272
6.405,16.276
6.484,16.277
4.913,16.278
5.822,16.285
6.270,16.291
5.617,16.293
5.579,16.297
6.610,16.301
3.568,16.302
5.094,16.306
5.397,16.309
6.871,16.309
6.519,16.310
3.263,16.313
5.253,16.313
5.993,16.313
6.688,16.319
5.572,16.322
5.672,16.322
6.114,16.323
4.165,16.327
6.111,16.331
3.320,16.332
5.831,16.336
4.897,16.344
5.761,16.344
6.549,16.352
3.471,16.359
5.603,16.360
4.986,16.360
2.789,16.364
6.935,16.367
2.998,16.368
6.211,16.368
5.091,16.369
6.026,16.371
5.627,16.372
6.396,16.373
5.059,16.373
3.348,16.374
2.701,16.374
7.107,16.374
6.038,16.378
5.840,16.381
5.297,16.382
5.873,16.384
4.530,16.391
6.792,16.396
5.051,16.396
5.761,16.404
5.982,16.407
5.601,16.409
3.692,16.416
6.574,16.418
6.780,16.420
5.273,16.424
4.983,16.425
6.620,16.431
5.779,16.433
6.388,16.441
4.785,16.444
4.787,16.449
4.565,16.456
4.975,16.459
6.650,16.462
6.345,16.464
5.513,16.473
5.183,16.479
6.819,16.481
3.554,16.482
5.684,16.487
5.365,16.498
3.867,16.498
5.521,16.501
5.193,16.501
6.214,16.504
3.851,16.507
6.668,16.512
6.159,16.513
2.775,16.515
4.950,16.517
6.414,16.522
6.893,16.522
2.702,16.523
5.530,16.529
6.833,16.531
5.091,16.535
6.348,16.541
6.871,16.549
5.277,16.557
5.693,16.558
5.619,16.561
4.968,16.561
5.466,16.567
5.205,16.569
5.965,16.574
4.885,16.582
5.056,16.584
3.665,16.585
4.269,16.585
6.407,16.589
4.099,16.590
6.318,16.590
5.673,16.600
5.699,16.606
3.109,16.617
5.548,16.620
5.851,16.621
6.142,16.626
6.312,16.627
5.815,16.627
6.425,16.628
6.793,16.632
5.798,16.636
6.582,16.638
5.283,16.639
7.176,16.643
3.844,16.644
6.567,16.646
5.453,16.653
5.540,16.653
4.284,16.654
7.009,16.659
6.933,16.661
6.115,16.668
6.320,16.670
3.765,16.673
6.904,16.674
5.742,16.676
6.124,16.676
4.963,16.681
5.718,16.691
4.465,16.697
5.789,16.698
5.861,16.700
6.889,16.700
7.254,16.701
4.491,16.704
6.156,16.704
6.756,16.708
5.818,16.708
